Type,Origin attribute,Predicate,Object type,Class,Input source
Country,id,,Subject,,Country @ EHRI Portal Search API
,name,rico:name,Literal,rico:Place,Country @ EHRI Portal Search API
,,owl:sameAs,IRI -> dbo:Place,,Country @ EHRI Portal Search API
,history,rico:history,Literal,rico:Place,Country @ EHRI Portal Search API
,situation,ehri:archivalSituation,Literal,ehri:Country,Country @ EHRI Portal Search API
,summary,ehri:researchSummary,Literal,ehri:Country,Country @ EHRI Portal Search API
,extensive,ehri:researchExtensive,Literal,ehri:Country,Country @ EHRI Portal Search API
,id (organization),rico:isOrWasLocationOfAgent,IRI (as ehri_institution:_),rico:Place,Repository @ EHRI Portal Search API
,region,rico:containsOrContained,IRI (as ehri_regions:_),rico:Place,Repository @ EHRI Portal Search API
,city,rico:containsOrContained,IRI (as ehri_cities:_),rico:Place,Repository @ EHRI Portal Search API
Institution,id,,Subject,,Repository @ EHRI Portal Search API
,name,rico:name,Literal,rico:CorporateBody,Repository @ EHRI Portal Search API
,openingTimes,schema:openingHours,Literal,schema:ArchiveOrganization,Repository @ EHRI Portal Search API
,history,rico:history,Literal,rico:CorporateBody,Repository @ EHRI Portal Search API
,descriptiveNote,rico:generalDescription,Literal,rico:CorporateBody,Repository @ EHRI Portal Search API
,conditions,ehri:institutionConditionsOfAccess,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,reproductionServices,ehri:institutionReproductionServices,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,generalContext,ehri:generalContext,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,administrativeStructure,ehri:administrativeStructure,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,records,ehri:recordsManagementAndCollectingPolicies,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,buildings,ehri:buildings,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,holdings,ehri:holdings,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,accesibility,ehri:accesibility,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,researchServices,ehri:researchServices,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,publicAreas,ehri:publicAreas,Literal,ehri:Institution,Repository @ EHRI Portal Search API
,url,rdfs:seeAlso,IRI,,Repository @ EHRI Portal Search API
,connected.item.id,ehri:hasCopy,IRI -> (as ehri_units:_ or ehri_repositories:_),ehri:Institution,Repositories @ EHRI GraphQL API
,id,ehri:isCopyOf,IRI,ehri:Institution,Repositories @ EHRI GraphQL API
,holding_id,rico:isOrWasHolderOf,IRI (as ehri_units:_),rico:CorporateBody,Holding @ EHRI Portal Search API
,,rico:agentHasOrHadLocation,IRI -> InstitutionLocation,rico:CorporateBody,Repository @ EHRI Portal Search API
,,rico:hasOrHadAgentName,IRI -> InstitutionParallelName,rico:CorporateBody,Repository @ EHRI Portal Search API
,,rico:hasOrHadAgentName,IRI -> InstitutionOtherName,rico:CorporateBody,Repository @ EHRI Portal Search API
,,rico:authorizedBy,IRI -> Mandate,rico:CorporateBody,Repository @ EHRI Portal Search API
InstitutionLocation,subject generated with the institution id (in case of multiple locations we might want to add the coordinates or a name into the subject),,Subject,,Repository @ EHRI Portal Search API
,,rico:isOrWasContainedBy,IRI -> Region,rico:Place,Repository @ EHRI Portal Search API
,,rico:isOrWasContainedBy,IRI -> City,rico:Place,Repository @ EHRI Portal Search API
,country.data.id,rico:isOrWasContainedBy,IRI (as ehri_countries:_),rico:Place,Repository @ EHRI Portal Search API
,,rico:hasOrHadPhysicalLocation,IRI -> PhysicalLocation,rico:Place,Repository @ EHRI Portal Search API
PhysicalLocation,subject generated with the institution id (as in the the InstitutionLocation we need somethign else in case of multiple addresses).,,,,Repository @ EHRI Portal Search API
,,rico:hasOrHadCoordinates,IRI -> Coordinates,rico:PhysicalLocation,Repository @ EHRI Portal Search API
,postalCode,schema:postalCode,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,streetAddress,rico:name,Literal,rico:PhysicalLocation,Repository @ EHRI Portal Search API
,fax,schema:faxNumber,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,telephone,schema:telephone,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,email,schema:email,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,contactPerson,ehri:contactPerson,Literal,ehri:InstitutionAddress,Repository @ EHRI Portal Search API
,address.name,schema:contactType,Literal,schema:PostalAddress,Repository @ EHRI Portal Search API
,,rico:isOrWasPhysicalLocationOf,IRI (as ehri_institutions_locations:_),rico:PhysicalLocation,Repository @ EHRI Portal Search API
Coordinates,subject generated with the coordinates concatenation,,,,Repository @ EHRI Portal Search API
,lat,rico:latitude,Literal,rico:Coordinates,Repository @ EHRI Portal Search API
,long,rico:longitude,Literal,rico:Coordinates,Repository @ EHRI Portal Search API
,,rico:isOrWasCoordinatesOf,IRI (as ehri_physical_locations:_),rico:Coordinates,Repository @ EHRI Portal Search API
Region,region,,Subject,,Repository @ EHRI Portal Search API
,region,rico:name,Literal,rico:Place,Repository @ EHRI Portal Search API
,country,rico:isOrWasContainedBy,IRI (as ehri_countries:_),rico:Place,Repository @ EHRI Portal Search API
,city,rico:containsOrContained,IRI (as ehri_regions:_),rico:Place,Repository @ EHRI Portal Search API
,,owl:sameAs,IRI,,
City,city,,Subject,,Repository @ EHRI Portal Search API
,city,rico:name,Literal,rico:Place,Repository @ EHRI Portal Search API
,region,rico:isOrWasContainedBy,IRI (as ehri_regions:_),rico:Place,Repository @ EHRI Portal Search API
,country,rico:isOrWasContainedBy,IRI (as ehri_countries:_),rico:Place,Repository @ EHRI Portal Search API
,,owl:sameAs,IRI,,
